id,name,Region, Population (2018 est) ,Penetration (% Population), Facebook Users (2018) ,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
GNQ,Equatorial Guinea,Africa,1313894,23.80%,67000,0.2298,0.0506,0.0486,0.5397,0.101
ERI,Eritrea,Africa,5187948,1.40%,63000,0.1337,0.0337,0.0833,0.3179,0
EST,Estonia,Europe,1306788,97.70%,620000,0.8486,0.9101,0.9028,0.8818,0.7613
ETH,Ethiopia,Africa,107534882,15.30%,4500000,0.3463,0.573,0.6319,0.3094,0.0976
FLK,Falkland Islands (Islas Malvinas),Americas,2922,99.20%,3100,null,null,null,null,null
208,Faroe Islands,Europe,49290,96.40%,33000,null,null,null,null,null
FJI,Fiji,Oceania,902547,46.80%,380000,0.5348,0.3483,0.4583,0.7899,0.3562
FIN,Finland,Europe,5542517,94.30%,2700000,0.8815,1,0.9653,0.9509,0.7284
FRA,France,Europe,65233271,92.60%,33000000,0.879,0.9663,0.9792,0.8598,0.7979
179,French Polynesia,Oceania,288685,68.40%,140000,null,null,null,null,null
GAB,Gabon,Africa,2067561,47.70%,620000,0.4313,0.1685,0.2292,0.6398,0.425
GMB,"Gambia, The",Africa,2163765,18.10%,310000,0.2958,0.2865,0.2708,0.3539,0.2627
GEO,Georgia,Asia,3907131,68.00%,2100000,0.6893,0.6236,0.6944,0.8333,0.5403
DEU,Germany,Europe,82293457,96.20%,31000000,0.8765,0.9213,0.9306,0.9036,0.7952
GHA,Ghana,Africa,29463643,34.30%,4900000,0.539,0.6292,0.6944,0.5669,0.3558
214,Gibraltar,Europe,34571,94.50%,23000,null,null,null,null,null
GRC,Greece,Europe,11142161,70.10%,5000000,0.7833,0.8764,0.8194,0.8867,0.6439
GRL,Greenland,Americas,56480,92.10%,38000,null,null,null,null,null
190,Grenada,Americas,108339,63.90%,62000,0.593,0.4888,0.4931,0.8202,0.4658
GTM,Guatemala,Americas,17245346,42.10%,6800000,0.4974,0.618,0.6458,0.5524,0.2941
204,Guernsey,Europe,66433,82.90%,34000,null,null,null,null,null
GIN,Guinea,Africa,13052608,12.30%,1500000,0.2348,0.3539,0.3125,0.2406,0.1513
GNB,Guinea-Bissau,Africa,1907268,6.30%,110000,0.1887,0.1124,0.0764,0.3869,0.1028
GUY,Guyana,Americas,782225,50.50%,360000,0.4316,0.3371,0.4306,0.6102,0.2541
HTI,Haiti,Americas,11112945,18.00%,1800000,0.3047,0.4831,0.4444,0.362,0.1078
235,Holy See (Vatican City),Europe,792,60.60%,20,null,null,null,null,null
HND,Honduras,Americas,9417167,38.20%,3400000,0.4474,0.5449,0.5139,0.6015,0.2268
HKG,Hong Kong,Asia,7428887,87.00%,5200000,null,null,null,null,null
HUN,Hungary,Europe,9688847,88.60%,5300000,0.7265,0.7079,0.7361,0.8364,0.6071
ISL,Iceland,Europe,337780,99.00%,250000,0.8316,0.6854,0.7292,0.9365,0.8292
IND,India,Asia,1354051854,34.10%,251000000,0.5669,0.9551,0.9514,0.5484,0.2009
IDN,Indonesia,Asia,266794980,53.70%,130000000,0.5258,0.618,0.5694,0.6857,0.3222
IRN,Iran,Middle East,82011735,69.10%,40000000,0.6083,0.5281,0.6319,0.7364,0.4566
IRQ,Iraq,Middle East,39339753,48.30%,17000000,0.3376,0.3371,0.3194,0.5094,0.184
IRL,Ireland,Europe,4803748,92.70%,2700000,0.8287,0.9326,0.8264,0.9626,0.697
199,Isle of Man,Europe,84831,61.30%,50000,null,null,null,null,null
ISR,Israel,Middle East,8452841,79.70%,5800000,0.7998,0.8315,0.8264,0.8635,0.7095
ITA,Italy,Europe,59290969,92.40%,30000000,0.8209,0.9551,0.9514,0.8341,0.6771
JAM,Jamaica,Americas,2898677,54.50%,1100000,0.4697,0.3146,0.3194,0.6957,0.3941
JPN,Japan,Asia,127185332,93.30%,71000000,0.8783,0.9831,0.9514,0.8428,0.8406
195,Jersey,Europe,99650,70.20%,63000,null,null,null,null,null
JOR,Jordan,Middle East,9903802,87.80%,5300000,0.5575,0.4831,0.4931,0.7387,0.4406
KAZ,Kazakhstan,Asia,18403860,76.40%,2500000,0.7597,0.8371,0.8681,0.8388,0.5723
KEN,Kenya,Africa,50950879,85.00%,7000000,0.4541,0.5337,0.625,0.5472,0.1901
194,Kiribati,Oceania,116405,13.70%,10000,0.345,0.2528,0.2986,0.6591,0.0773
PRK,"Korea, North",Asia,25610672,0.00%,14000,0.2159,0,0,0.615,0.0327
KOR,"Korea, South",Asia,51164435,92.60%,43000000,0.901,1,0.9792,0.8743,0.8496
KWT,Kosovo,Europe,1895250,80.40%,910000,0.7388,0.691,0.7917,0.6852,0.7394
KWT,Kuwait,Middle East,1895250,80.40%,910000,0.7388,0.691,0.7917,0.6852,0.7394
KGZ,Kyrgyzstan,Asia,6132932,40.70%,650000,0.5835,0.6854,0.6458,0.7628,0.3418
LAO,Laos,Asia,6961210,35.00%,2200000,0.3056,0.1742,0.1667,0.5254,0.2246
LVA,Latvia,Europe,1929938,86.20%,740000,0.6996,0.6854,0.6667,0.8132,0.6188
LBN,Lebanon,Middle East,6093509,91.00%,3600000,0.553,0.4438,0.4722,0.6649,0.5219
LSO,Lesotho,Africa,2263010,27.70%,310000,0.2968,0.0787,0.1111,0.5324,0.2468
LBR,Liberia,Africa,4853516,8.10%,330000,0.2737,0.427,0.3403,0.3772,0.1036
LBY,Libya,Africa,6470956,58.70%,3500000,0.3833,0.1236,0.0972,0.7173,0.3353
210,Liechtenstein,Europe,37922,98.40%,14000,0.8204,0.7472,0.7986,0.8237,0.8389
LTU,Lithuania,Europe,2876475,90.40%,1400000,0.7534,0.8034,0.7986,0.8323,0.6293
LUX,Luxembourg,Europe,590321,96.90%,320000,0.8334,0.9382,0.9236,0.7803,0.7964
168,Macau,Asia,632418,81.00%,380000,null,null,null,null,null
MKD,Macedonia,Europe,2085051,75.90%,1000000,0.6312,0.7022,0.7153,0.6924,0.4859
MDG,Madagascar,Africa,26262810,7.20%,1700000,0.2792,0.3258,0.3056,0.4822,0.0499
MWI,Malawi,Africa,19164728,9.50%,720000,0.2708,0.2022,0.2569,0.472,0.0834
MYS,Malaysia,Asia,32042458,78.30%,22000000,0.7174,0.8876,0.8889,0.6987,0.5647
174,Maldives,Asia,444259,76.50%,320000,0.5615,0.4101,0.4931,0.6754,0.5159
MLI,Mali,Africa,19107706,65.30%,1500000,0.2424,0.2416,0.2639,0.2558,0.2074
173,Malta,Europe,432089,83.30%,320000,0.8011,0.8483,0.8403,0.7973,0.7657
203,Marshall Islands,Oceania,53132,37.60%,20000,0.3543,0.1742,0.2292,0.7301,0.1037
MRT,Mauritania,Africa,4540068,17.80%,770000,0.2314,0.1798,0.1597,0.3467,0.1878
153,Mauritius,Africa,1268315,63.40%,700000,0.6678,0.691,0.7292,0.7308,0.5435
181,Mayotte,Africa,259682,41.60%,71000,null,null,null,null,null
MEX,Mexico,Americas,130759074,65.00%,78000000,0.6818,0.9438,0.9236,0.7044,0.4173
191,"Micronesia, Federated States of",Oceania,105566,53.20%,21000,0.3155,0.1404,0.1458,0.6889,0.1118
MDA,Moldova,Europe,4041065,71.20%,800000,0.659,0.8596,0.7708,0.7274,0.4787
212,Monaco,Europe,38695,95.50%,13000,0.805,0.5618,0.625,0.7901,1
MNG,Mongolia,Asia,3121772,64.10%,1900000,0.5824,0.736,0.5972,0.7899,0.3602
MNE,Montenegro,Europe,629219,69.90%,320000,0.6966,0.7416,0.6667,0.8172,0.6059
228,Montserrat,Americas,5177,57.90%,2600,null,null,null,null,null
MAR,Morocco,Africa,36191805,62.40%,15000000,0.5214,0.7753,0.6667,0.5278,0.3697
MOZ,Mozambique,Africa,30528673,17.30%,1800000,0.3195,0.4438,0.4236,0.3951,0.1398
NAM,Namibia,Africa,2587801,30.80%,570000,0.4554,0.3933,0.4514,0.585,0.3299
222,Nauru,Oceania,10301,50.00%,2700,0.3324,0.1461,0.1319,0.5619,0.3033
NPL,Nepal,Asia,29624035,54.70%,8700000,0.4748,0.7809,0.6875,0.4957,0.2413
NLD,Netherlands,Europe,17084459,95.90%,9800000,0.8757,0.9888,0.9306,0.9206,0.7758
NCL,New Caledonia,Oceania,269736,89.00%,150000,null,null,null,null,null
NZL,New Zealand,Oceania,4604871,88.70%,3000000,0.8806,0.9831,0.9514,0.945,0.7455
NIC,Nicaragua,Americas,6284757,43.00%,2500000,0.4233,0.3876,0.4028,0.5847,0.2825
NER,Niger,Africa,22311375,4.30%,440000,0.1095,0.2135,0.1597,0.0894,0.0795
NGA,Nigeria,Africa,195875237,50.20%,17000000,0.3807,0.4831,0.5278,0.4261,0.1883
234,Niue,Oceania,1614,68.20%,700,null,null,null,null,null
230,Norfolk Island,Oceania,2210,34.80%,420,null,null,null,null,null
209,Northern Mariana Islands,Oceania,55567,52.20%,29000,null,null,null,null,null
NOR,Norway,Europe,5353363,99.20%,3400000,0.8557,0.9775,0.9514,0.9025,0.7131
OMN,Oman,Middle East,4829946,68.50%,2630000,0.6846,0.8315,0.8125,0.7013,0.5399
PAK,Pakistan,Asia,200813818,22.20%,32000000,0.3566,0.5,0.5486,0.3682,0.1529
217,Palau,Oceania,21726,35.40%,6400,0.5024,0.2528,0.3264,0.8462,0.3346
PAN,Panama,Americas,4162618,69.70%,2000000,0.6092,0.7191,0.6597,0.7137,0.4543
PNG,Papua New Guinea,Oceania,7933841,11.40%,380000,0.2787,0.2022,0.2708,0.4778,0.0875
PRY,Paraguay,Americas,6896908,89.60%,3300000,0.5255,0.573,0.5556,0.6701,0.3507
PER,Peru,Americas,32551815,67.60%,20000000,0.6461,0.8652,0.8194,0.7276,0.3913
PHL,Philippines,Asia,106512074,62.90%,62000000,0.6512,0.9382,0.8819,0.7171,0.3547
237,Pitcairn Islands,Oceania,49,n/a,150,null,null,null,null,null
POL,Poland,Europe,38104832,78.10%,14000000,0.7926,0.8933,0.9306,0.8668,0.5805
PRT,Portugal,Europe,10291196,77.90%,5800000,0.8031,0.8989,0.9306,0.817,0.6617
PRI,Puerto Rico,Americas,3659007,83.30%,2100000,null,null,null,null,null
QAT,Qatar,Middle East,2694849,98.10%,2300000,0.7132,0.7135,0.7917,0.6683,0.6797
ROU,Romania,Europe,19580634,73.50%,8900000,0.6671,0.7079,0.6597,0.7944,0.5471
RUS,Russia,Europe,143964709,76.10%,13100000,0.7969,0.9213,0.9167,0.8522,0.6219
RWA,Rwanda,Africa,12501156,29.80%,490000,0.459,0.7584,0.7222,0.4815,0.1733
226,Saint Barthelemy,Americas,7184,100.80%,6400,null,null,null,null,null
225,"Saint Helena, Ascension, and Tristan da Cunha",Africa,4049,54.30%,1700,null,null,null,null,null
207,Saint Kitts and Nevis,Americas,55345,78.80%,35000,0.6554,0.5843,0.5347,0.7491,0.6825
187,Saint Lucia,Americas,179667,79.60%,92000,0.466,0.2191,0.2847,0.7022,0.411
213,Saint Martin,Americas,40120,82.30%,31000,null,null,null,null,null
227,Saint Pierre and Miquelon,Americas,6320,79.60%,3100,null,null,null,null,null
193,Saint Vincent and the Grenadines,Americas,110200,69.90%,61000,0.5306,0.5169,0.4514,0.682,0.4583
185,Samoa,Oceania,195743,34.70%,68000,0.4236,0.264,0.3403,0.7241,0.2064
211,San Marino,Europe,33400,52.70%,7900,0.6471,0.2584,0.4236,0.8102,0.7075
186,Sao Tome and Principe,Africa,208818,27.70%,52000,0.3424,0.1573,0.1389,0.583,0.3053
SAU,Saudi Arabia,Middle East,33554343,90.20%,18000000,0.7119,0.7135,0.7917,0.8101,0.5339
SEN,Senegal,Africa,16294270,59.80%,2900000,0.3486,0.5056,0.4792,0.3427,0.224
SRB,Serbia,Europe,8762027,72.20%,3400000,0.7155,0.8146,0.7361,0.7896,0.6208
196,Seychelles,Africa,95235,70.50%,61000,0.6163,0.6461,0.6181,0.7299,0.5008
SLE,Sierra Leone,Africa,7719729,11.70%,450000,0.2717,0.4101,0.3472,0.3081,0.1597
SGP,Singapore,Asia,5791901,83.60%,4300000,0.8812,0.9663,0.9861,0.8557,0.8019
SVK,Slovakia,Europe,5449816,85.00%,3200000,0.7155,0.809,0.7361,0.8141,0.5964
